Date,Open,High,Low,Close,Adj Close,Volume,Identifier,Moving_Average_Percentage_Return
2023-06-22,0.06011764444881104,0.06358208106569199,0.062344647997796016,0.06114654264534079,0.06114654264534079,0.047585157048902066,Uber,7.630424571441903
2023-06-23,0.06108139081599989,0.06320066196318938,0.06275325145015229,0.06290686800499888,0.06290686800499888,0.05956630308483821,Uber,8.549006963249289
2023-06-26,0.06493636360755181,0.06746268451256626,0.06734992988387878,0.06649394776977975,0.06649394776977975,0.09453724772736476,Uber,10.699447243140812
2023-06-27,0.06806021671679444,0.0667661701626436,0.06758827540332496,0.0645343479437724,0.0645343479437724,0.08112971158319017,Uber,8.743119684396286
2023-06-28,0.06410555039663801,0.06812603693494765,0.06612414550452328,0.06589611170068703,0.06589611170068703,0.07626989862311384,Uber,9.209404213112899
2023-06-29,0.06606627008148272,0.06494194783799603,0.062004158109689095,0.060382627627563815,0.060382627627563815,0.07762329365719257,Uber,4.66888848614271
2023-06-30,0.06280948381596502,0.06212271585836904,0.06476215997438234,0.06234222745357117,0.06234222745357117,0.04051857027866202,Uber,5.657755744469577
2023-07-03,0.06300887087317408,0.0620232174233501,0.06360448915927619,0.06207652394175715,0.06207652394175715,0.007889108537702952,Uber,5.13260521041375
2023-07-05,0.06207836413365575,0.06361525564562837,0.0646600156057216,0.06396970739234469,0.06396970739234469,0.03493809685915469,Uber,6.13660421997751
2023-07-06,0.0624106970243434,0.060696512578587325,0.06118696419383321,0.05882157673425502,0.05882157673425502,0.042414119636272195,Uber,2.1252869607476734
2023-07-07,0.05935329781603477,0.06109451897105814,0.06142872578257716,0.06147867520261953,0.06147867520261953,0.03228671668820022,Uber,3.709133400794972
2023-07-10,0.061048163865532884,0.06135986500096871,0.06312778513152723,0.06104689274212126,0.06104689274212126,0.03524135821270898,Uber,2.9949888902851147
2023-07-11,0.05945299134463927,0.06623547810282243,0.06076474841971238,0.06629467330343049,0.06629467330343049,0.08946740803118351,Uber,6.252346324037019
2023-07-12,0.06909042966212084,0.06805970042747,0.06833736874378812,0.06682609299710339,0.06682609299710339,0.05517664476150852,Uber,6.12128211824232
2023-07-13,0.06978830971675956,0.07043117679711677,0.07055739814393525,0.0705460308528137,0.0705460308528137,0.05306343736458585,Uber,8.097010849621936
2023-07-14,0.07209796942892366,0.07197346580188557,0.07034629025687483,0.06759000801488037,0.06759000801488037,0.05581999680148858,Uber,5.4214499822258215
2023-07-17,0.06802698976632743,0.06948590370725172,0.07014198853069673,0.07011424839231543,0.07011424839231543,0.05553432062489093,Uber,6.62324171655853
2023-07-18,0.07022033613605175,0.07645107251126851,0.07300214775290736,0.07642486834097047,0.07642486834097047,0.1241573216381953,Uber,10.412445036926425
2023-07-19,0.07606925556291538,0.07694858999115331,0.07712213514774152,0.0754616661867993,0.0754616661867993,0.05571017239445743,Uber,9.16925752840979
2023-07-20,0.07264630919065562,0.07562188514639054,0.07477272374654789,0.07363491178167648,0.07363491178167648,0.05934134553810974,Uber,7.370944152918922
2023-07-21,0.0742414690343457,0.07509120573896444,0.0762027968632249,0.07582701960183282,0.07582701960183282,0.049691396734200394,Uber,8.207386873438601
2023-07-24,0.07593633508384384,0.07578772008888712,0.07810957400765087,0.07612594397140164,0.07612594397140164,0.0380549865257729,Uber,7.832189309056593
2023-07-25,0.07640158845360301,0.07638473600379084,0.07841602010248974,0.07562773246543865,0.07562773246543865,0.0298211421605613,Uber,6.9881336257245215
2023-07-26,0.07590309545617333,0.0758043073788553,0.0773604806671877,0.07609273578369173,0.07609273578369173,0.03804304187727405,Uber,6.855692004563513
2023-07-27,0.0790601881930865,0.07757876783359832,0.0764581707737334,0.07376776987260593,0.07376776987260593,0.042441990482769525,Uber,4.864112352309538
2023-07-28,0.07620218871919043,0.07870646315592814,0.07766692676202658,0.07884947148523087,0.07884947148523087,0.03966353252361889,Uber,7.751190718572376
2023-07-31,0.08188494803931201,0.08222222213787292,0.0825700642794486,0.08323368712554356,0.08323368712554356,0.1112723638658457,Uber,10.204170862240582
2023-08-01,0.08128676151327777,0.08069650777067719,0.07528345857870827,0.0739006279635354,0.0739006279635354,0.2551413416892786,Uber,3.7020057784774454
2023-08-02,0.07259646242635337,0.0763018248587401,0.07412577477474547,0.07493024649312639,0.07493024649312639,0.10319977225536865,Uber,4.021913019544918
2023-08-03,0.07314480218808533,0.07678274239626165,0.07453437822710174,0.07144280396152015,0.07144280396152015,0.06651974749013075,Uber,1.4525845574345497
2023-08-04,0.07241368250577604,0.07190712929440793,0.07191256452433725,0.06908462986272444,0.06908462986272444,0.06781640544383992,Uber,-0.2919163309039528
2023-08-07,0.06912365661258782,0.06908788466238583,0.06973339806719708,0.06825428579948271,0.06825428579948271,0.05614681565624895,Uber,-0.9606468328874983
2023-08-08,0.06742880324029321,0.06812603693494765,0.06872893081622541,0.068951771771795,0.068951771771795,0.03165929084621862,Uber,-0.5519998439533731
2023-08-09,0.06992124287303464,0.0688557132124116,0.06789472149816383,0.06546432924018876,0.06546432924018876,0.04947937922334569,Uber,-2.884190533361477
2023-08-10,0.06619920323775777,0.06792702741251472,0.06874595920728774,0.06709179650891738,0.06709179650891738,0.0388459876930305,Uber,-1.831311346830989
2023-08-11,0.06576717681846561,0.06500828434547368,0.06609010171125523,0.06413577367098404,0.06413577367098404,0.036405961441347466,Uber,-3.869980740153843
2023-08-14,0.06410555039663801,0.06694857974271329,0.06486431733189973,0.0679221405721591,0.0679221405721591,0.03526458391812342,Uber,-1.4841473096622402
2023-08-15,0.06809345634446498,0.06693200510514019,0.06847355690571691,0.06536469200701413,0.06536469200701413,0.027221522133101878,Uber,-3.2456275976384243
